story,overall_quality_rating,ATD,narraive_arc_answer,common_sense_answer,coherency_score,fluency_score,interest_score,plot_twist_answer,share_score,humanlike_score,NLI,Emo,EmoArc,Human
"JJ played all day long. When evening came, he was tired. He nearly fell asleep in his bath, and his mother said it was bedtime. His mother put him in pajamas, took him to his bed, and sang to him. He fell asleep.",1.8,1,0.8,0.6,3.8,2.6,2.6,0.2,0.2,0.2,0,0,0,1.0
"Gina was in trouble for something her sister did. Her parents held her accountable since she was older. Gina thought this was very unfair. She went to her room and sat alone, waiting for an apology. Her sister came and apologized.",2.8,1,1.0,1.0,3.6,3.2,3.6,0.8,2.0,0.8,0,0,0,1.0
"Jan had to pick up her daughter after class. In a hurry, she drove to school in housecoat and slippers. Jan waited in the car for her daughter, who didn't show up. Worried, Jan went to the door of the class to find her daughter. Then she realized it was Saturday.",3.2,1,0.2,0.8,3.0,3.4,3.6,0.6,1.6,1.0,0,0,0,1.0
"Joe was an amateur prospector. He went out in the hills to look for gold. Instead of gold, he found many small blue and green stones. He gathered them all up to be appraised in town. Joe hoped they were valuable.",2.8,1,0.8,1.0,3.6,3.4,2.8,1.0,1.8,0.8,0,0,0,1.0
Robbie wanted to buy a new hat. He drove an hour just to get the new hat he wanted. Finally when he got there he got the last one. When he tried it on it fit perfectly. He wore it everyday.,1.8,1,0.8,1.0,3.6,3.0,1.6,0.4,0.4,0.4,0,0,0,1.0
Today was Iris's fifth birthday! Her mom had planned her a surprise party. All of her friends were there. She opened presents and had cake. Iris had a lot of fun at her party.,3.4,1,0.8,1.0,3.8,3.4,1.8,0.2,0.8,0.8,0,0,0,1.0
Rene was at the arcade with a couple of friends on a Friday night. He was getting ready to play a game but realized he forgot his wallet. His friend Jack noticed this and offered to let him borrow money. Rene appreciated his offer and took him up on it. Rene then played games.,2.2,1,1.0,1.0,3.8,3.2,2.6,0.8,1.2,0.6,0,0,0,1.0
I wrote an ebook that needed a cover. I made several book covers in Photoshop. I shared my creations with several people. I asked people to vote for Cover A or Cover B. Most people liked Cover A.,1.2,1,0.8,0.8,2.8,2.4,1.4,0.2,0.4,0.4,0,0,0,1.0
"Suzy went to the ice cream store. She ordered a vanilla milkshake. When she tried to pay the man for her milkshake, he smiled at her. He told her that she won a special contest. He gave her the milkshake for free.",2.8,1,1.0,0.8,4.0,3.4,3.4,1.0,1.8,0.6,0,0,0,1.0
"Beth was taking a shower when she heard a loud knock on the door. She didn't want to answer and waited for it to go away. The next time she took a shower, she heard the loud knock again. But when she rushed out of the shower to answer, no one was there. Beth decided she was hearing things.",1.8,1,1.0,1.0,3.8,3.2,2.6,0.6,1.8,0.8,0,0,0,1.0
"Gina's sister cut her ankle on broken glass. The blood ran down her foot and into her shoe. When she saw the blood she ran home. Gina ran behind her, but couldn't keep up. Gina's sister went to the doctor.",1.6,1,0.8,0.6,3.2,2.4,1.8,0.0,0.4,0.4,0,0,0,1.0
Jake is one of my roommates. He took a gap year last year to work as a chef in Australia. Since the dining hall food was subpar we decided to cook. He taught me how to cook and season a steak. Jake has kept all of us well-fed all year.,3.2,1,0.6,0.8,2.6,2.8,2.2,0.2,1.2,0.6,0,0,0,1.0
"Amy was very stressed out all the time. A friend suggested that she try meditation. Amy was skeptical, but she agreed to give it a shot. She went to a class and breathed and focused. It helped her mental state immensely.",3.6,1,1.0,1.0,3.6,3.6,2.8,0.6,1.2,0.8,0,0,0,1.0
Lia went to England. She took a bus tour. The tour stopped at Stonehenge. Lia got out of the bus to look. Lia took many photos of Stonehenge.,2.0,1,0.4,0.6,3.0,2.2,2.0,0.2,0.8,0.4,0,0,0,1.0
"I took gymnastics as a child. I was learning the balance beam and doing moves on it. As I did a round off flipping off the beam, I landed wrong. I broke my ankle and was in so much pain! I was rushed to the hospital.",1.4,1,0.6,1.0,3.8,2.8,2.6,0.8,1.6,0.6,0,0,0,1.0
"A little boy was in the third grade. He was very smart but struggled with reading. Whenever he read out loud his classmates laughed at him. He started to practice reading every single day. At the end of the year, he did well on his reading test.",3.4,1,1.0,1.0,4.0,3.4,3.2,1.0,1.8,0.8,0,0,0,1.0
"Cindy was at a restaurant. And she ordered hot soup. But the waitress forgot to tell her that the bowl was hot. So when received the bowl from the waitress, she hurt her hands. Cindy went and ran cold water over her hands.",1.6,1,1.0,0.6,3.6,3.0,2.4,0.4,0.6,1.0,0,0,0,1.0
Leah is a full time college student who wants a part time job. Leah searches craigslist and finds an entry level position. Leah applies and the next day get a call for an interview. Leah goes to the interview and does really well. Leah gets the job.,2.6,1,0.8,0.8,3.0,3.2,3.2,1.0,1.2,0.8,0,0,0,1.0
My laptop didn't want to work. It stopped turning on for some reason. I tried a few different things to fix it. Finally I got a new charger off the internet. Now it comes on every time.,2.0,1,0.6,0.8,3.2,2.6,2.4,0.8,0.6,0.4,0,0,0,1.0
Cristin went to a music festival. One of Kristin's favorite bands should be performing at the festival. She found out that her favorite band's performance was cancelled. Cristin is frustrated that she did not get to see their performance. Cristin decided not to go to the festival next year.,2.2,1,0.8,0.8,2.6,2.8,3.0,0.8,1.2,0.8,0,0,0,1.0
"Stewart tried to finish his favorite task before going to bed. He got so engrossed in it, he forgot to keep the fire going. Shivering, he pulled a bunch of blankets around himself. He became very warm and content. When he woke up it was freezing.",2.4,1,0.6,0.4,2.6,1.8,2.8,0.6,0.8,0.8,0,0,0,1.0
"We decided we would learn to make candy. We checked out a book on the subject and read up. Then, we set to work trying. We realized greatly overestimated how hard it was to make candy. We found we made a mess in the kitchen.",2.6,1,0.8,1.0,3.2,3.2,2.4,0.6,1.2,0.8,0,0,0,1.0
Jane's girlfriend works at a flower shop. She never gets tired of her work. One day Jane decided to get her a rose. Even though her girlfriend saw many a day she loved it. Jane's girlfriend was a die-hard flower lover.,2.8,0,0.8,0.8,2.6,3.4,2.4,0.6,1.2,1.0,1,0,0,1.0
Matt was out for a walk with his mom. Suddenly he saw something shiny on the ground. He bent to pick it up. It was a gold ring! Matt was excited to be so lucky.,3.4,0,0.8,1.0,3.2,3.2,4.0,1.0,2.0,0.8,1,0,0,1.0
Teresa was an artist. She made a beautiful sculpture of an angel. She entered it into an art contest. The judges liked the sculpture very much. She won the contest and was proud of herself.,3.0,0,1.0,1.0,2.8,3.4,3.0,0.6,1.0,0.8,1,0,0,1.0
"When I first met Janice, she didn't know how to crack a walnut. I couldn't believe she had gotten this far in life without this skill. I offered to teach her many methods to crack nuts. She accepted. Janice is now an expert walnut cracker.",3.2,0,1.0,0.8,2.4,3.8,2.8,0.4,1.0,0.8,1,0,0,1.0
"Rufus has just enrolled in a new school and he has no friends there. At first he feels apprehensive and worried he won't meet anyone. However, a nice guy named Ralph introduces himself to Rufus one day. They realize that they are in the same Chemistry class. They decide to be lab partners in their class together.",3.0,0,1.0,1.0,3.4,2.0,3.0,1.0,1.6,1.0,1,0,0,1.0
Emile wanted to be a great chef. He took lessons and worked hard learning how to cook. He practiced his cooking and served food for friends. His friends loved his cooking and encouraged him. Emile eventually got a job as a chef.,3.6,0,1.0,1.0,4.0,3.6,3.4,0.4,1.6,1.0,1,0,0,1.0
Joe was helping his dad clear the woods in the back of their yard. All of a sudden he heard loud buzzing. He had stirred up a bee's nest. He got stung six times before he could escape. Joe was angry he got hurt.,3.8,0,0.4,1.0,3.8,3.6,3.0,1.0,2.0,1.0,1,0,0,1.0
"Lester has always loved academic debate. He decides to found a debate team at his college. He finds a professor to advise the team, and slowly recruits students. Soon the team is large enough to debate another school. The other school wins by a huge margin over Lester's team.",3.4,1,1.0,0.6,3.6,2.6,2.8,0.6,1.4,0.8,1,0,0,1.0
My aunt is a nurse. She often talks about long hours at work. Last week was especially bad. She didn't have a single day where she didn't work late. It was hard work.,2.8,0,0.6,1.0,3.4,3.2,2.4,0.2,1.0,1.0,1,0,0,1.0
"I approached the front of my school. Since my brother was at work, I had to wait for him to pick me up. Several hours later, I was impatiently waiting. He eventually came before night time. I was very angry at him for not picking me up earlier.",3.0,0,1.0,0.8,3.0,2.4,2.4,0.4,1.0,0.6,1,0,0,1.0
Josh was writing short stories for a researcher. The researcher was impressed by Josh's stories. The researcher decided to give Josh a bonus. Josh was happy that he got a bonus. Josh used the bonus to repair his broken car.,2.6,0,1.0,0.8,4.0,3.4,2.4,0.2,1.2,0.6,1,0,0,1.0
"When I was a kid, Google started for the first time. I remember asking my dad how to use the site. He showed me how to type and search anything I wanted. I became enthralled, and spent every day at my desk having fun. I learned a lot from Google.",3.6,0,1.0,1.0,3.4,3.4,2.6,0.2,0.8,0.8,1,0,0,1.0
James loved to challenge himself physically. He decided to begin training for a marathon. James began running every day before work. Finally James ran the marathon. James finished in the top 50.,3.0,0,0.6,1.0,3.4,1.8,3.0,0.4,1.2,0.6,1,0,0,1.0
Phil went for a walk in the park. It was a warm breezy day. He ran into a few friends along his walk. One of them offered him a drink. Phil was thirsty and accepted the drink.,2.8,0,0.2,1.0,3.8,2.4,1.4,0.4,0.0,0.6,1,0,0,1.0
"Flora's tooth started to hurt. She hated the dentist, so she tried to ignore it. The pain got worse and worse. Finally, Flora had to call for a dentist appointment. The dentist was able to make her tooth feel better.",3.4,0,1.0,1.0,3.2,3.8,2.2,0.2,1.0,1.0,1,0,0,1.0
"Sean came over today. Sam, Sean, and I played games. They started to get mad at me about how bad I was. They said I couldn't play anymore until I got better. I was really hurt.",2.8,0,0.2,0.6,2.4,3.8,1.8,0.2,0.4,0.6,1,0,0,1.0
"My son bought a drum set for his one year old niece last fall. The set had drumsticks, a cymbal, and a seat. His niece lives in NYC. She saw it when she visited, and was thrilled. She wanted to play the drums.",2.6,0,0.4,0.6,2.6,2.8,2.4,0.2,0.6,1.0,1,0,0,1.0
"Josiah was a baby who was trying to crawl for the first time. To help him, his mother put out an exciting toy that jingled. As she made the toy rattle, Josiah became very interested. He started groping the ground and inching towards his mom. Josiah crawled to his mother and took the toy.",3.6,0,1.0,1.0,3.8,3.6,2.6,0.4,1.4,1.0,1,0,0,1.0
Kelly and her friends decided to go to Indian for lunch. They were the first ones inside the restaurant. It was a buffet so they got what they wanted. The girls loved the food. They returned many times.,2.4,0,1.0,0.8,3.2,2.4,2.6,0.4,0.6,0.2,1,0,0,1.0
May was Harry's favorite month. Harry had his birthday in May and school also let out. Every May Harry would also go to the country to see his friend Mary. Mary and Harry got engaged eventually. Harry loved Mary.,2.0,0,0.4,1.0,2.4,2.4,2.4,0.4,1.2,0.2,1,0,0,1.0
"My friend wants to be a doctor, so she took the MCAT. The first time she took it, she did not get a good enough score. She studied very hard and took it again. This time, she did very well! We took her out to drinks to celebrate.",2.6,0,1.0,1.0,3.2,3.8,2.8,0.8,1.6,0.8,1,0,0,1.0
"At a party on Friday everyone decided to play musical chairs. The game involved dozens of people. Eventually it was narrowed down to two. It was two girls. The tall, brown haired girl won the game.",2.2,0,1.0,0.8,3.6,3.2,1.6,0.2,0.6,1.0,1,0,0,1.0
Marco is starting a new job today. He wants to look good on his first day. Marco decides to put on a necktie. His new boss is impressed with how good he looks. Marco is glad that he made a good impression.,3.2,0,1.0,1.0,3.4,3.8,2.6,0.0,1.2,0.8,1,0,0,1.0
Rosie's class was having a little party. She decided to make a fruit salad for everyone. She spent lots of money on the fruit and lots of time preparing it. On the day of the party she scooped a huge bowl of the fruit salad up. Rosie's class shared the fruit salad.,2.2,0,1.0,1.0,3.2,3.2,2.6,0.2,1.4,0.8,1,0,0,1.0
Ben walked along the street and found the end of a length of string. He picked it up and pulled on it. More string came but not the end. Ben followed the string to see where it went. Ben was fascinated by the string.,2.8,0,0.6,0.4,2.8,1.8,2.6,0.6,0.8,0.4,1,0,0,1.0
Timmy loves watching cartoons. His parents don't let him watch unless he does his chores. Today's chore is to clean his room. Timmy's room is a mess. Timmy spent all day cleaning so he could watch tv.,2.4,0,1.0,1.0,3.0,2.8,2.6,0.2,1.0,1.0,1,0,0,1.0
"Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard. Later, she passed the test.",2.2,0,1.0,1.0,3.6,2.8,3.2,0.8,1.8,0.6,1,0,0,1.0
"Neil flew into Russia. There, he visited tourist sites and saw friendly locals. He found that Russia was colorful and vibrant. It also had a great and rich history. Neil found the trip stimulating.",2.4,0,1.0,1.0,3.0,3.8,2.6,0.2,1.8,1.0,1,0,0,1.0
Amy wanted to get a manicure. She went to the nail salon near her job. The lady finished and asked if she wanted fingernail polish as well. Amy chose a bright red nail polish color. Amy loved bright colors.,2.8,0,0.8,1.0,2.2,3.8,2.6,0.0,1.4,0.8,1,0,0,1.0
"Tim decided to spend more time with his granddad. His grandpa loved birdwatching, so Tim watched with him. They marked their sightings in a notebook. Soon Tim was really interested! Tim and his grandad found a hobby that they both enjoyed.",3.8,0,1.0,1.0,3.2,3.6,2.8,0.4,1.2,1.0,1,0,0,1.0
"Harry loved hockey. He decided to sign up to play for a local league. Harry attended the tryouts for the team. Harry hoped he did well enough to make the team. A few days later, Harry heard that he made the team.",3.4,0,1.0,1.0,3.2,3.4,2.2,0.4,1.2,1.0,1,0,0,1.0
Maggie wanted to paint her room. She wanted to have a pink room. She ask her mom to buy her paint. The next day Maggie painted her room. Maggie loved the color pink.,3.0,0,1.0,1.0,3.0,2.2,2.2,0.0,1.0,0.6,1,0,0,1.0
"When I was younger, I went to summer camp. We had a lot of fun playing games with the counselors. My favorite thing to do was play cards. The camp counselors knew so many different card games. My favorite card game was poker.",2.6,0,0.6,0.8,2.8,3.0,2.6,0.4,1.6,0.8,1,0,0,1.0
"Sal was nervous on his first day of high school. And as he sat in class, he felt intimidated by his peers. At lunch time, another student approached him. And that student felt the same way as Sal. Sal found out he wasn't alone.",3.4,0,1.0,1.0,3.6,3.6,3.0,0.8,1.6,1.0,1,0,0,1.0
Trudey wanted to write novels for a living. She wrote one through traditional publishing means. It barely made enough to cover the advance she had received. She wrote another through self-publishing avenues. Trudey hoped self-publishing would be more profitable.,3.4,0,0.6,1.0,3.2,3.2,2.6,0.4,1.2,0.8,1,0,0,1.0
"My mother used to have a pet goat. She took very good care of it. One day, she realized the goat was missing. She asked her mother where it was. Katie was relieved when her mother said the back yard.",3.4,0,0.4,0.6,3.8,3.0,2.8,0.8,1.2,0.4,1,0,0,1.0
Anna had been tending her garden all summer. She went outside to harvest. All her fruits and veggies were ready! She picked them one by one. She had a bountiful harvest.,3.2,0,0.8,0.8,3.8,3.2,2.6,0.6,1.6,0.6,1,0,0,1.0
"Tom liked to look at old cars. For his birthday, his family got him tickets to a classic car museum. Tom thought it was a wonderful gift. His family accompanied him to the museum. Tom loved his time at the museum.",3.0,0,0.8,0.6,3.2,3.4,2.0,0.4,1.0,0.6,1,0,0,1.0
"Morris buys himself a skateboard to stay active. He brings the skateboard to the park for a day of skateboarding. He notices that he is much older than the other people there. However, they welcome him, and they don't seem to mind his age. The younger skaters taught Morris a lot of tricks.",3.4,0,0.6,0.8,3.4,3.6,2.8,0.6,1.0,1.0,1,0,0,1.0
"Jeremy's mother didn't approve of his lifestyle. When he was 21, Jeremy decided to move out. He found an apartment in a nearby state with a new job. After several Years he cleaned up, and finances his own life. Jeremy enjoyed being more responsible.",3.2,0,0.8,0.8,3.8,3.2,3.6,0.8,1.6,0.8,1,0,0,1.0
Christian's school was starting football tryouts. Christian decided to try out for the team. He practiced every day. He tried out for the team. Christian got on the team.,2.4,0,0.4,0.8,3.2,2.6,2.2,0.4,0.8,0.2,1,0,0,1.0
Carlos has always wanted to visit France. He decides that he should learn to speak French before he goes. He enrolls in a night class and studies very hard. Finally Carlos can speak French pretty well. Carlos makes the most of his French on his trip to Paris.,3.2,0,1.0,1.0,4.0,3.8,2.6,0.6,1.6,1.0,1,0,0,1.0
"Amelia decided to take a vacation to Mexico. She booked her flight and hotel. When she got to Mexico, she was sure to visit many different things. She loved every moment of it. Amelia decided to vacation to Mexico more often.",3.2,0,0.8,1.0,3.8,2.8,2.8,0.2,1.0,0.2,1,0,0,1.0
Last week the internet went out. My wife and I were bored out of our minds. Every other option available seemed boring. Eventually we just drank and talked for a while. We ended up having a fun time after all.,2.6,0,0.8,0.6,3.4,3.8,3.0,0.8,1.2,1.0,1,0,0,1.0
I was walking to the mall. Someone was calling me and I decided to pull out my phone. I had a hard time getting it out since my pockets were tight. The phone ended up jumping out of my pocket. I almost cracked my phone.,2.4,0,0.8,0.8,2.6,3.8,1.8,0.6,0.6,1.0,1,0,0,1.0
My family wanted a pet. We went to the pet store on Saturday. We saw lots of dogs and kittens. We fell in love with a cute black kitten. We bought the kitten.,2.6,0,1.0,1.0,4.0,3.6,2.8,0.6,1.2,1.0,1,0,0,1.0
"My husband and I rented a car on vacation. The car we got was horrible. The wipers didn't work, and a headlight was out. It smelled awful and was very dirty. We will never rent from that car company again.",3.2,1,0.6,0.6,2.4,3.0,2.0,0.4,0.8,0.6,1,0,0,1.0
"Jimmy grew up very poor. However, his parents always did his best to provide for him. When he got into a good college, they worked two jobs to afford it. When he graduated, he wanted to show his appreciation. So he repaid them for college.",3.8,0,0.6,0.6,3.2,3.0,3.0,0.6,1.6,0.8,1,0,0,1.0
"Sarah always had a fascination with the night sky. Noticing her passion, Sarah's father bought her a new telescope. She was ecstatic. She went outside every night to diligently view the night sky. Sarah loved her new telescope.",3.4,0,0.8,1.0,4.0,3.2,3.4,0.6,1.8,0.8,1,0,0,1.0
Keri was babysitting her niece on a weekday. She needed to put her to sleep early. Unfortunately the niece had too much energy. Keri convinced her to do exercises with her. Then Keri took the child for  a  walk  to tire her out.,2.0,0,0.8,1.0,3.4,2.8,1.8,0.4,0.4,0.8,1,0,0,1.0
