story,arc
Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's Gina loved her grandma.,sadness - neutral
Kaya needed to buy a new dress for the upcoming Spring Formal. She went to the mall with several of her friends. The girls all had a good time visiting shops and trying on dresses. Kaya found a dress that she loved that was a nice coral color. It was kind of expensive but she decided it was worth it.,neutral - joy - love - approval
Tyler wanted to have a balloon party with tons of balloons. He and his friends and his parents blew up the balloons. He and his friends played with the balloons and had a lot of fun. They got tired and watched a movie and had dinner. It had been a very fun day.,desire - neutral - joy - neutral - joy
"Jimmy went skateboarding this afternoon. It was the third time this week. He's getting good at it and really likes it. He fell once but hasn't given up. After all his practice this week, Jimmy has learned a new trick.",neutral - admiration - optimism - neutral
Maxine usually hates to shave her legs. She doesn't like the feeling of using a razor. One night Maxine has a big date and decides to wear a dress. She shaves her legs for the occasion. Maxine gets laser removal next time.,neutral - disapproval - neutral
"Ryan loved to customize his bike. He decided to add some LED lights to the bike frame and wheels. He ordered the parts from eBay. When they arrived, he assembled them. Ryan loved how his bike looked.",love - approval - neutral - love
One day I wanted to cook a nice dinner for my family. I decided to cook spaghetti. I boiled the noodles and put the sauce in a pot on the stove. I turned the stove on too high. The sauce burned and stuck to the bottom of the pan.,desire - approval - neutral
Nick was challenged to a volleyball match. His girlfriend bet him five dollars she could beat him. Nick did not intend to let her win! He played hard and mercilessly. Nick beat his girlfriend and she gave him the five dollars.,neutral - realization - admiration - neutral
Some friends and I made a Counter-Strike team. We practiced a lot for an upcoming tournament. We got to the tournament and went over strategies. We played a tough 6 games. We felt pleased with our performance.,approval - admiration - neutral - admiration - neutral
"Michelle found a fat tuxedo cat outside her house. She put up posters all over her neighborhood. After three weeks, no one had called Michelle about the cat. Michelle decided to keep the cat for herself. Michelle named the cat, ""Socks.""",neutral - realization - neutral
"Neil was visiting Ireland. His train had just arrived in Derry. As he disembarked, he caught his breath. It was as gorgeous as a fairy tale! Neil enjoyed Ireland.",neutral - admiration - joy
Mary went to the park. She wanted to show off her new dress. A bird flew over Mary and pooped. Her dress became covered in bird poop. Mary was upset that her dress was ruined.,neutral - disgust - disappointment
"Scott knew someone was stealing packages from his porch. He set up a surveillance camera near his door. He felt that he would at least have a video of the thief. One day, Scott saw footage of the perpetrator. Scott apprehended the perpetrator.",neutral
Colin was invited to the bar by his friends. He loves beer but thinks it's too expensive at the bars. He decided to go anyway. He gave himself a budget. Colin stuck to his budget and only drank 2 beers.,neutral - love - neutral
Jordan was planning on moving to Mexico. Jordan decided that he should learn Spanish. He ended up purchasing a language learning program from Amazon. Everyday he worked on the program for at least 2 hours. Jordan knew some conversational Spanish by the time he moved.,neutral
Fred is brand new to exercising and just joined a gym. He was amazing at how expensive a personal trainer was. He wanted to get into shape but couldn't afford the rates. He found personal trainer routines online for free. He was happy with his decision.,neutral - surprise - neutral - joy
It was the second match of the volleyball season. Amy was hopeful she would get a chance to play. After the first game they were ahead. Her coach put her in the game. She finally got her chance to play in the match.,excitement - optimism - neutral
Ellen had had four miscarriages in a row. Her husband Tim despaired of ever becoming a dad. Then the doctor called him at work. He told him that there was great news about Ellen. The doctor told Tim that Ellen was finally pregnant.,neutral
"David asked his mother if he could pour his own drink. His mother agreed, but warned him to be careful. David accidentally knocked over his glass which shattered everywhere. His mother cheerfully forgave David. David promised to be more careful in the future.",neutral - caring - disappointment - joy - caring
Neil wanted to play hockey. He borrowed some gear from his friends. Then he geared up and headed to the rink. He practiced for days. Neil played in the competition.,neutral - admiration - neutral
"My friend  Cam was an Amazon bookseller. He had 4,000 books stored in a garage. He made enough money to live simply. His house caught on fire one day and he lost his collection. Cam has since decided to insure his belongings.",neutral - sadness - neutral
Rosie's teacher's birthday was coming up in 5 days. Rosie did not have money to buy a present. She asked her grandmother to teach her how to draw sunflowers. Rosie drew a big sunflower and painted it with watercolor. Rosie's teacher loved the gift.,excitement - neutral - love
A man ordered an antique clock on eBay. He received a box containing six blown fuses and a jar of pickles. He filed a complaint with eBay. EBay refused to process a refund. The man is furious.,neutral - disapproval - anger
"Tom and Dick loved their trucks. They would go out in the desert every week. They would kick up dirt and play around. Then Tom's truck broke down. It cost a lot of money, but he got it repaired.",love - neutral
Harry went to the theme park with his family. His dad and brother rode on a big roller coaster with him. He then rode on some smaller rides with his mom. The family ate at a restaurant at the park. Harry had a great time at the park.,neutral - optimism
I had a presentation in art. My teacher failed me although I did everything right. He allowed me to repeat my presentation and failed me again. I believed that I did the presentation correct and stood up for it. The teacher agreed to discuss it with me.,neutral - disappointment - realization - approval
Leah had a hockey game. All of her family came to cheer her on. But when she got there she realized they were short handed. Only a handful of girls showed up to play. The game was canceled.,neutral - joy - realization - neutral - disappointment
Ava started to notice wrinkles by her eyes. She bought an expensive wrinkle cream. She applied it every night. After a month she checked her eyes out carefully. She was happy to see her wrinkles were gone.,realization - neutral - joy
"Harry shopped a lot online and was looking to buy a new camera. He researched different cameras online and decided to buy one. He made the purchase and the camera arrived in the mail the next week. When Harry opened the package, he found that the camera was damaged. Annoyed, he contacted the retailer to complain about the damage.",neutral - approval - neutral - anger
Jasper has been avoiding getting a real job for months. He has hated all the previous office jobs that he had. One day he sees a job opening at his local butcher. He applies successfully for the job at the butcher. Jasper enjoys cutting dead animals.,neutral - amusement
"After  gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After the arrived we began eating and enjoying ourselves. I loved throwing parties.",joy - excitement - neutral - joy
Tom fond that he was no longer happy in his job. Tom decided that it was time to find a new job. Tom looked through the want ads and put in applications. Tom went on job interviews and talked to a lot of people. He finally received a job offer.,neutral - realization - neutral
Paul graduated from high school. He did not get accepted into college. His mom advised him to get a job. Paul agreed. Paul got a job.,neutral - disapproval - neutral - approval - neutral
"Harvey's roommates teased him about being so thin. They were egotistical football players. They challenged Harvey to a ping pong game, expecting him to lose. But they did not know that Harvey was a nationally ranked player. They all sat with their mouths open as Harvey beat them all.",neutral - annoyance - neutral - realization - neutral
"I think yesterday was when I realized I shouldn't be a mathematician. I was at the grocery store, restocking for next week. I had bought around twenty items, and thought I was under my budget. When I went to check out, I was ten dollars over! I then realized that I was not good at math.",realization - neutral - surprise - realization
My family's red car broke down last year. Our family needed a 2 door car that had good gas mileage. We visited a few people who were selling cars. My parents searched multiple dealerships. They bought another red car.,approval - neutral
"Gina's phone died as they drove on the highway. She plugged it in the front seat, but she was in the backseat. She was bored without her phone so she tried to reach it. She was on the end and it was too far. She acted like a brat and threw a tantrum.",sadness - neutral - annoyance
"I was just sitting on the porch enjoying my day. When out of the blue, a loud bang disturbed my peace. I jumped up in surprise. The door had slammed open. I realized it had only been the wind.",joy - surprise - neutral - realization
Gina's local library had no books on dolphins. She needed to find another library. The closest one was downtown. Her mother refused to take her. Gina decided to walk instead.,neutral - approval
Alan got a gun for his 18th birthday. His dad took him to the range to practice shooting. Alan was a terrible shot! But he persevered and practiced a lot. He now loves to go hunting.,excitement - neutral - fear - admiration - love
"Jay was finishing up lunch at McDonald's, throwing away his trash. As soon as he threw it away, he realized there was a promo happening. There were some game pieces on his fry box so he fished it out. He peeled off the game piece and couldn't believe it. He'd dug in the trash for nothing.",neutral - realization - neutral - surprise - neutral
"There once was a man named John. He worked in a factory. The factory fired him for poor work. As a result, he had to find other work. John was a troubled worker.",realization - neutral
Kev's dad asked to take him hunting. Kev said he'd consider it. Then he decided he didn't like hunting. He thought it was cruelty to animals. Kev decided not to come hunting.,neutral
When Emily was young she got to go to her first concert. She was nervous because of all of the people at the concert. Emily was very excited to see her favorite artist on the stage. The concert ticket was a gift for Emily for her birthday. This was the best birthday gift Emily had ever had.,neutral - nervousness - excitement - neutral - joy
"Lina wanted to fry donuts. She got an application for the donut shop. To her delight, she had been hired! She started to go to work frying donuts. Lina loved her new job.",neutral - love
My class went to the Everglades for our field trip. We did some sightseeing in several of the forests. We also got the opportunity to travel in water. The bus ride home was long and boring. I was tired when I got home.,excitement - approval - disappointment - neutral
"A group of workers from Mechanical Turk joined a forum. They formed a clique and demanded more and more power. Andy, the forum owner, had enough, and told them as much. They haughtily stomped off to make a forum of only themselves. The new forum was theirs to rule.",approval - neutral
"Donna's toddler son, Ty, didn't like having his nails clipped. The child's nails had grown longer than she was comfortable with. Donna decided to wait until he was asleep. Once Ty was napping, Donna quietly clipped each nail. Donna had a much easier time because Ty was asleep.",neutral - realization - neutral
Gina didn't want to sit at her desk near her old friends. She could feel the tension between them. She decided to ask to go to the library. Her teacher agreed to allow her to go for an hour. Gina felt more calm once she arrived in the library.,neutral - approval
Vivienne wanted to move from France to America. Part of the immigration process was an interview about her intentions. Vivienne did not have any goals or career aspirations. The interview did not go well. Vivienne was not granted a visa.,neutral - disappointment - neutral
"Frank filled up dozens of water balloons to throw at this sister. Little did he know she was ready for him. When he started the attack, she pulled out a huge water gun. It was much more effective than his balloons. Frank bought a water gun the next day.",neutral - realization - neutral - approval - neutral
Gina's dad pulled into the 24 hour Walgreen's parking lot. It was nearly 4 AM but everyone went inside. They needed toothbrushes before they went to grandma's house. It was Gina's job to pack them before they left. Gina felt guilty about forgetting everyone's toothbrushes.,neutral - approval - neutral - remorse
John was excited to have a job interview. He went to the interview very prepared and nicely dressed. During the interview he was very talkative and likable. The manager of the company was really impressed by John's comments. The manager decided to offer John the job.,excitement - admiration - neutral
"Ben wanted a glass of orange juice. There was none in the house. However, there was a bag of oranges. He halved a few of them and got out the juicer. Ben made freshly squeezed orange juice from the oranges.",neutral
Reg was hoping for a snow day. There was a bad storm overnight. He got his wish and school was canceled! He spent the whole day playing in the snow making snowmen. Reg hoped he would get another snow day soon.,neutral - disappointment - neutral
Caroline never drinks carbonated beverages. Her friends pick on her because of it. One day they challenged her to drink a soda. Caroline wanted to win the challenge. Caroline opened the soda and drank it all in one gulp!,neutral - desire - neutral
Tom and Cindy were eating marshmallows. But Tom began to get tired of it. Cindy suggested roasting the marshmallows. And Tom agreed with her suggestion. Tom enjoyed the roasted marshmallows.,neutral - approval - joy
"Bob was at the grocery store. At check out, he realized he forgot his credit card. The woman behind him offered to buy his groceries. Bob was so appreciative. He promised to pay her back.",neutral - realization - neutral - admiration - anger
John bought a new gun. He loved all the safety features. He was showing it off to his friend. It accidentally went off. John was surprised.,neutral - love - neutral - disappointment - surprise
Neil was visiting the city of Luxor. He took a tour to learn about Egyptian history. They learned a lot of facts. Then they had a picnic lunch on the banks of the Nile. Neil had an amazing educational and cultural experience.,neutral - admiration
"John wasn't adventurous about trying new food. His mom always made him try 2 bites of something new. If he didn't like it, he didn't have to eat any more. One day she gave him a slimy looking food called papaya. John ate, but told his mom that he never wanted to eat it again.",disapproval - neutral
I have a favorite pair of socks. Last week I was doing laundry. One of the two was lost. I looked everywhere and couldn't find it. Eventually it turned up.,love - neutral - disappointment - realization
Alex ran across town to get to a friends house. He didn't know his shoe was untied. He had ran for three block when it happened. He tripped on that shoelace of his. Alex resolved to always check his shoelaces before leaving.,neutral - realization - neutral
Sal liked magic. He always tried to pulled tricks for his family. He tried to pull a rabbit out of his hat on day. But the hat ripped and the rabbit fell through. And thus Sal gave up on magic.,love - neutral
Javier always noticed the kids playing handball near his house. He wanted to join them but he was intimidated. One day he summoned the courage to play handball with them. He found that they were actually very nice. Javier began playing handball with them regularly.,neutral - admiration - neutral
"Gordon bought his son a remote control car for Christmas. But he realized that it needed AA batteries. Gordon could not find any. So the next day, he went to the toy store where he bought the car. He bought a big package of AA batteries.",neutral - realization - neutral
"Mim was driving down the highway in a bad snow storm. There was so much snow, Mim pulled her car over. She noticed other people were doing the same. She got an emergency blanket from the backseat, and ate a snack. Eventually it stopped snowing.",neutral - realization - neutral - realization
"Yesterday, my mother in law called, and wanted to go out to some store. She picked me up at 4:30, and we headed out. We went to one store after the other looking for good deals. Absolutely none of the stores had anything good to buy. We went home without buying anything.",neutral - approval - disapproval - neutral
Sarah was horrified of swings growing up. She would cry every time she would go to the playground. Last week she finally attempted to swing for the first time in Years. She loved it so much that she swung for an hour. Her fear melted away as she swung.,fear - sadness - neutral - love - fear
The Malamute always sniffed at the slide during his walk. His owner walked him up to the platform one day. He was scared to slide down. They continued to do this every day on their walk. The Malamute eventually tried to slide down the slide.,neutral - fear - neutral
"Today was Tim's birthday party. Since he was sick, he couldn't go out. However, the family decided to come to his out. We brought him a cake and take-out food. Tim was very happy to be remembered.",excitement - neutral - joy
"Frankie was in love with a distant, aloof man. The man she loved was not very nice to her. He cheated on her with other people in town. Frankie left him. Frankie found another man.",neutral - disappointment - neutral
Nancy was sitting near the science building. Ian tried to sneak close to her. She didn't notice until she looked around. Ian threw a pie directly in her face. Nancy began to cry and felt humiliated.,neutral - realization - neutral - sadness
George had an internship. He really wanted to get a full time job with the company. George worked hard and proved to be smart. A position opened up that George wanted. He eagerly applied for it and was ultimately hired.,neutral - desire - admiration - neutral - excitement
"All Kevin wanted in life was to buy his fiance a house. He became near obsessed, saving every penny. He worked multiple jobs and lived as a miser. After a year, Kevin had enough money for a down payment. Kevin bought a house.",desire - neutral
Joe had an accountant. He never paid attention to his accountant. Until one day he realized he had no money. Joe furiously stormed into the accountant's office. Joe asked the accountant what happened.,neutral - realization - neutral - curiosity
Sven was very poor. Sven's brother told him there was lots of money on the train. So Sven and his brother started a gang. They robbed the train! Sven was caught and jailed shortly after.,neutral - anger - neutral
